number,name,status
1 –  Purpose and Guidelines,PEP Purpose and Guidelines,Active
2 – Procedure for Adding New Modules,Procedure for Adding New Modules,Active
42 – Feature Requests,Feature Requests,Withdrawn
20 – The Zen of Python,The Zen of Python,Active
3 – Guidelines for Handling Bug Reports,Guidelines for Handling Bug Reports,Withdrawn
5 – Guidelines for Language Evolution,Guidelines for Language Evolution,Active
100 – Python Unicode Integration,Python Unicode Integration,Final
7 – Style Guide for C Code,Style Guide for C Code,Active
4 – Deprecation of Standard Modules,Deprecation of Standard Modules,Active
6 – Bug Fix Releases,Bug Fix Releases,Active
13 – Python Language Governance,Python Language Governance,Active
8 – Style Guide for Python Code,Style Guide for Python Code,Active
10 – Voting Guidelines,Voting Guidelines,Active
9 – Sample Plaintext  Template,Sample Plaintext PEP Template,Withdrawn
11 – CPython platform support,CPython platform support,Active
12 – Sample reStructuredText  Template,Sample reStructuredText PEP Template,Active
8104 – 2023 Term Steering Council election,2023 Term Steering Council election,Active
3151 – Reworking the OS and IO exception hierarchy,Reworking the OS and IO exception hierarchy,Final
672 – Unicode,Unicode-related Security Considerations for Python,Active
8103 – 2022 Term steering council election,2022 Term steering council election,Active
8100 – January 2019 steering council election,January 2019 steering council election,Active
8015 – Organization of the Python community,Organization of the Python community,Rejected
8016 – The Steering Council Model,The Steering Council Model,Accepted
8102 – 2021 Term steering council election,2021 Term steering council election,Active
8101 – 2020 Term steering council election,2020 Term steering council election,Active
8014 – The Commons Governance Model,The Commons Governance Model,Rejected
8013 – The External Council Governance Model,The External Council Governance Model,Rejected
8002 – Open Source Governance Survey,Open Source Governance Survey,Active
8010 – The Technical Leader Governance Model,The Technical Leader Governance Model,Rejected
8012 – The Community Governance Model,The Community Governance Model,Rejected
8001 – Python Governance Voting Process,Python Governance Voting Process,Final
8011 – Python Governance Model Lead by Trio of Pythonistas,Python Governance Model Lead by Trio of Pythonistas,Rejected
3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
8000 – Python Language Governance Proposal Overview,Python Language Governance Proposal Overview,Active
3333 – Python Web Server Gateway Interface v1.0.1,Python Web Server Gateway Interface v1.0.1,Final
3150 – Statement local namespaces (aka “given” clause),Statement local namespaces (aka “given” clause),Deferred
3152 – Cofunctions,Cofunctions,Rejected
3153 – Asynchronous IO support,Asynchronous IO support,Superseded
3155 – Qualified name for classes and functions,Qualified name for classes and functions,Final
3149 – ABI version tagged .so files,ABI version tagged .so files,Final
3154 – Pickle protocol version 4,Pickle protocol version 4,Final
3148 – futures,futures - execute computations asynchronously,Final
3146 – Merging Unladen Swallow into CPython,Merging Unladen Swallow into CPython,Withdrawn
3147 – PYC Repository Directories,PYC Repository Directories,Final
3145 – Asynchronous I/O For subprocess.Popen,Asynchronous I/O For subprocess.Popen,Withdrawn
3142 – Add a “while” clause to generator expressions,Add a “while” clause to generator expressions,Rejected
3143 – Standard daemon process library,Standard daemon process library,Deferred
3144 – IP Address Manipulation Library for the Python Standard Library,IP Address Manipulation Library for the Python Standard Library,Final
"3140 – str(container) should call str(item), not repr(item)","str(container) should call str(item), not repr(item)",Rejected
3141 – A Type Hierarchy for Numbers,A Type Hierarchy for Numbers,Final
3138 – String representation in Python 3000,String representation in Python 3000,Final
3137 – Immutable Bytes and Mutable Buffer,Immutable Bytes and Mutable Buffer,Final
3139 – Cleaning out sys and the “interpreter” module,Cleaning out sys and the “interpreter” module,Rejected
3133 – Introducing Roles,Introducing Roles,Rejected
3132 – Extended Iterable Unpacking,Extended Iterable Unpacking,Final
3134 – Exception Chaining and Embedded Tracebacks,Exception Chaining and Embedded Tracebacks,Final
3130 – Access to Current Module/Class/Function,Access to Current Module/Class/Function,Rejected
3131 – Supporting Non,Supporting Non-ASCII Identifiers,Final
3135 – New Super,New Super,Final
3136 – Labeled break and continue,Labeled break and continue,Rejected
3128 – BList: A Faster List,BList: A Faster List-like Type,Rejected
3129 – Class Decorators,Class Decorators,Final
3127 – Integer Literal Support and Syntax,Integer Literal Support and Syntax,Final
3126 – Remove Implicit String Concatenation,Remove Implicit String Concatenation,Rejected
3125 – Remove Backslash Continuation,Remove Backslash Continuation,Rejected
"3124 – Overloading, Generic Functions, Interfaces, and Adaptation","Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3120 – Using UTF,Using UTF-8 as the default source encoding,Final
3119 – Introducing Abstract Base Classes,Introducing Abstract Base Classes,Final
3121 – Extension Module Initialization and Finalization,Extension Module Initialization and Finalization,Accepted
3122 – Delineation of the main module,Delineation of the main module,Rejected
3118 – Revising the buffer protocol,Revising the buffer protocol,Final
3123 – Making PyObject_HEAD conform to standard C,Making PyObject_HEAD conform to standard C,Final
3112 – Bytes literals in Python 3000,Bytes literals in Python 3000,Final
3114 – Renaming iterator.next() to iterator.__next__(),Renaming iterator.next() to iterator.__next__(),Final
3116 – New I/O,New I/O,Final
3117 – Postfix type declarations,Postfix type declarations,Rejected
3115 – Metaclasses in Python 3000,Metaclasses in Python 3000,Final
